photons,SDNR_40um,SDNR_50um,SDNR_60um,SDNR_70um,SDNR_80um,SDNR_90um,SDNR_100um,SDNR_110um,SDNR_120um,SDNR_130um,SDNR_140um,SDNR_150um,SDNR_160um,SDNR_170um,SDNR_180um,SDNR_190um,SDNR_200um
289426,18.56477206792524,15.502265368856984,21.035435271331043,19.83495919266949,21.30675837255897,24.19966246295765,22.86464147648058,25.47521189934961,25.373748558250465,26.93411234302669,26.40515345976585,28.368115247257904,27.20778385317271,28.28119847509852,31.175344769724006,28.915492285495212,30.022551935184996
388815,16.662285361323608,22.91945630974923,20.60529425268388,24.75027137138205,24.53804966081079,28.08827059318217,26.66735567872521,31.298921952172705,29.630256393104865,29.61079945598398,32.36733759726114,33.92616525430463,32.86382876543271,35.05135330700514,33.49710775820138,33.49442159008972,33.75998359302143
522334,18.72852149919616,24.9472116461984,23.651739685386552,26.365074196018128,30.127443547171087,29.792302840836143,30.94392943735444,33.928644860314286,33.63186705619451,35.51581430768513,35.20416528546709,36.18039463123021,37.16712702663372,38.5297121523289,38.50402484799178,40.989907768136575,40.005503786272335
701703,26.310942608738063,26.673578614332087,28.19295074746633,33.2789132591008,34.44325238934658,34.25995085836685,36.80801430980972,38.49662903532228,38.29929387304057,44.07567945071609,39.53133605417706,44.71311971165057,44.52433536817066,45.375777133341344,48.642869493654686,46.38530163340943,44.415127494691625
942668,26.79651784205737,31.83440422239046,33.83104805511043,36.68390903635718,40.226395006843575,44.164615752488935,45.30208602621266,44.83186492606592,49.33292443603932,49.757012787200686,48.394206918608944,52.24557913044545,50.33186551243954,49.098203011194045,52.3962798180236,52.63665723171906,54.750058992873804
1266380,35.113980131154484,34.48137601351687,38.91312873168587,40.8173139048568,48.17400618921177,45.65132842206604,49.87593490477875,51.68423563927127,52.11660262922096,56.16256094498337,58.89156949959391,55.65640507934681,61.92045600297524,61.05731252385359,57.45849624720933,62.93534705133809,62.790189915281225
1701254,35.21347886974017,40.58227512039363,47.83512975853,50.59047013402804,54.7421007723624,56.429105615854695,59.727700596590175,59.6035686771556,58.14215103784223,63.39402090712149,65.24203490251497,72.98688607601908,70.2984629359057,67.66126167844504,68.06133114321382,74.21797596597524,69.89301262591044
2285463,43.69732163703906,49.53180943879884,50.48979784946815,58.5024488232657,65.59537741499226,67.80478702046082,66.12864201803208,71.54893196624434,73.02610777202531,82.38291517031647,78.09034277642219,75.22048535376489,80.90987814661648,75.28033676506276,89.77648176842357,83.75523238721696,86.35307342115398
3070290,52.17507584564189,56.88167283280761,60.42189538492656,62.49779169859628,69.52817783394887,69.13878002184566,75.95175402661985,81.67357438594469,88.71215181126966,93.15424967356115,90.2631289988272,89.25419014271293,88.43279560794805,91.68612260108686,95.29701502256816,91.77612681951204,97.58194331659442
4124626,60.71139507434963,66.5329045573584,76.30711256406511,78.93187731968332,79.53436964855449,92.7845868907864,95.17538977055048,94.3315801205602,105.34494483316467,99.0380381282339,101.1936042298944,102.55101332567446,105.10195564447856,111.23628387861662,107.24381041766652,105.51337871420822,103.27464956071391
5541020,66.3855284039028,73.8639727063546,86.89503951450037,90.75997014858412,89.66201597155693,95.65438976454496,104.8855675407154,106.18744090127788,117.832339757803,111.70689544341874,130.78609762800883,125.94109006628338,126.08794370876504,120.06139908300706,117.3423746042136,136.84134552223694,126.81761035011935
7443803,78.4873949900728,92.37802446828614,100.23765099761204,95.06554347292357,109.8294237467114,116.45160224850603,119.62382271046692,124.78948204384304,132.3311398462631,139.6283311739411,142.7490286410435,134.57471503842788,138.5429678489332,148.91222836576517,145.66878886772744,147.83050507484202,157.22548772433726
10000000,89.70147609181704,101.2248523394537,107.20110910215176,122.26201850452604,127.70700697684089,129.66296257456517,135.56321223109828,144.52013253034104,150.88642943897938,152.73808176072183,163.70210680888337,169.44826561439513,176.78147321401136,155.98822871520562,172.93345897721912,160.857570694552,174.34978298761132
